Source,Target,Mean_CLR,Mean_DII,Observed_Diff,Empirical_p_value,FDR_adjusted_p_value,Significant
CD4+ T cells,CD8+ T cells,0.021172111018220148,0.00015566625155666251,0.021016444766663485,0.001998001998001998,0.47752247752247756,No
CD4+ T cells,CD4+ T cells,0.005320415823583945,0.0,0.005320415823583945,0.002997002997002997,0.47752247752247756,No
CD11b+CD68+ macrophages,Tregs,0.0029239766081871343,0.0,0.0029239766081871343,0.003996003996003996,0.47752247752247756,No
Tregs,CD11b+CD68+ macrophages,0.0006119951040391676,0.0,0.0006119951040391676,0.003996003996003996,0.47752247752247756,No
CD8+ T cells,CD4+ T cells,0.0030958216243263206,0.00013943112102621306,0.0029563905033001075,0.001998001998001998,0.47752247752247756,No
CD8+ T cells,smooth muscle,0.00041617277817534553,0.0034357347801810116,-0.003019562002005666,0.002997002997002997,0.47752247752247756,No
smooth muscle,CD4+ T cells CD45RO+,0.0003683639042138107,0.0023807971041955376,-0.002012433199981727,0.007992007992007992,0.6207792207792209,No
immune cells / vasculature,stroma,0.0015458267785205635,0.0,0.0015458267785205635,0.011988011988011988,0.6207792207792209,No
CD68+CD163+ macrophages,B cells,0.0027956322010402597,0.0007321262087754725,0.002063505992264787,0.007992007992007992,0.6207792207792209,No
adipocytes,vasculature,0.0,0.008547008547008546,-0.008547008547008546,0.012987012987012988,0.6207792207792209,No
stroma,immune cells / vasculature,0.000774160973483489,0.0,0.000774160973483489,0.011988011988011988,0.6207792207792209,No
CD8+ T cells,B cells,0.004598276535263719,0.0011274738687467977,0.003470802666516921,0.01098901098901099,0.6207792207792209,No
vasculature,adipocytes,0.0,0.00020512820512820514,-0.00020512820512820514,0.012987012987012988,0.6207792207792209,No
smooth muscle,CD8+ T cells,0.0004122775673536615,0.001881871215195136,-0.0014695936478414744,0.00999000999000999,0.6207792207792209,No
tumor cells,granulocytes,0.0021078543745966898,0.0059257600637550485,-0.0038179056891583588,0.012987012987012988,0.6207792207792209,No
tumor cells,CD68+CD163+ macrophages,0.00245724911752432,0.007760726273436527,-0.005303477155912207,0.014985014985014986,0.6715159840159841,No
CD4+ T cells,granulocytes,0.0005369046753287469,0.0,0.0005369046753287469,0.015984015984015984,0.674149380031733,No
CD8+ T cells,tumor cells / immune cells,0.0,0.000505050505050505,-0.000505050505050505,0.026973026973026972,0.7735864135864136,No
vasculature,tumor cells / immune cells,0.0,0.00036075036075036075,-0.00036075036075036075,0.026973026973026972,0.7735864135864136,No
granulocytes,granulocytes,0.010731262970353277,0.01985632219130455,-0.009125059220951274,0.026973026973026972,0.7735864135864136,No
tumor cells / immune cells,vasculature,0.0,0.003968253968253968,-0.003968253968253968,0.026973026973026972,0.7735864135864136,No
tumor cells / immune cells,tumor cells / immune cells,0.0,0.001554352186121139,-0.001554352186121139,0.026973026973026972,0.7735864135864136,No
tumor cells / immune cells,CD8+ T cells,0.0,0.005555555555555556,-0.005555555555555556,0.026973026973026972,0.7735864135864136,No
granulocytes,CD68+ macrophages,7.045230379033395e-05,0.0010492489287707149,-0.000978796624980381,0.022977022977022976,0.7735864135864136,No
CD4+ T cells CD45RO+,CD4+ T cells,0.0028401425434685596,0.0004485025138050306,0.002391640029663529,0.022977022977022976,0.7735864135864136,No
granulocytes,CD4+ T cells,0.0018775840665272016,0.0,0.0018775840665272016,0.029970029970029972,0.8223998223998223,No
CD68+ macrophages,tumor cells,0.023969275283847558,0.0044576717984635365,0.01951160348538402,0.030969030969030968,0.8223998223998223,No
tumor cells,B cells,0.004087238918990218,0.0010001345720922275,0.0030871043468979906,0.03596403596403597,0.8282030469530469,No
stroma,Tregs,2.6279827604330916e-05,0.0008655474720653225,-0.0008392676444609916,0.03696303696303696,0.8282030469530469,No
Tregs,CD4+ T cells,0.026262626262626265,0.0,0.026262626262626265,0.03596403596403597,0.8282030469530469,No
stroma,B cells,0.0034194566386967044,0.0006639940280644269,0.0027554626106322776,0.03596403596403597,0.8282030469530469,No
CD4+ T cells,Tregs,0.0007888069385930156,0.0,0.0007888069385930156,0.03596403596403597,0.8282030469530469,No
CD4+ T cells,plasma cells,0.0023948465327775672,0.0,0.0023948465327775672,0.04295704295704296,0.8555611055611057,No
tumor cells,tumor cells,0.03674239299517277,0.051793890413491375,-0.015051497418318606,0.04095904095904096,0.8555611055611057,No
CD8+ T cells,Tregs,4.763719512195122e-05,0.00048743826499401895,-0.00043980106987206774,0.04295704295704296,0.8555611055611057,No
plasma cells,CD4+ T cells,0.005952380952380952,0.0,0.005952380952380952,0.04095904095904096,0.8555611055611057,No
stroma,CD4+ T cells,0.0013205282112845138,0.0,0.0013205282112845138,0.04795204795204795,0.8999462076385153,No
CD4+ T cells,stroma,0.0008338091288095058,0.0,0.0008338091288095058,0.04795204795204795,0.8999462076385153,No
tumor cells,immune cells,0.0023515872244382306,4.244482173174873e-05,0.002309142402706482,0.04895104895104895,0.8999462076385153,No
CD3+ T cells,smooth muscle,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,CD11b+CD68+ macrophages,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,B cells,0.0053475935828877,0.0,0.0053475935828877,0.5034965034965035,1.0,No
CD3+ T cells,CD11c+ DCs,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,CD4+ T cells,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,Tregs,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,CD8+ T cells,0.0,0.0007158196134574087,-0.0007158196134574087,0.5424575424575424,1.0,No
CD3+ T cells,plasma cells,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,adipocytes,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,CD68+CD163+ macrophages,0.0,0.0007158196134574087,-0.0007158196134574087,0.5424575424575424,1.0,No
CD3+ T cells,stroma,0.0,0.0014316392269148174,-0.0014316392269148174,0.5424575424575424,1.0,No
CD3+ T cells,tumor cells,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,CD4+ T cells CD45RO+,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,vasculature,0.0,0.0,0.0,1.0,1.0,No
CD3+ T cells,granulocytes,0.0,0.0,0.0,1.0,1.0,No
CD163+ macrophages,CD3+ T cells,0.0,0.0,0.0,1.0,1.0,No
granulocytes,immune cells / vasculature,0.0023906814839902693,0.0004409779966483309,0.0019497034873419384,0.2777222777222777,1.0,No
granulocytes,tumor cells / immune cells,0.0,0.0,0.0,1.0,1.0,No
granulocytes,smooth muscle,0.005615454465004231,0.0035074080773193376,0.0021080463876848934,0.6203796203796204,1.0,No
granulocytes,CD11b+CD68+ macrophages,4.9558925562493803e-05,0.0005130990700913502,-0.0004635401445288564,0.1088911088911089,1.0,No
granulocytes,B cells,0.0007474784584456389,0.0007115002022380992,3.5978256207539654e-05,0.954045954045954,1.0,No
granulocytes,CD11c+ DCs,0.0001919906254727649,0.0002792719313641479,-8.7281305891383e-05,0.7672327672327672,1.0,No
granulocytes,Tregs,0.0027754934210526315,0.0006808311560481984,0.002094662265004433,0.44955044955044954,1.0,No
granulocytes,CD8+ T cells,0.0008848059894392682,0.0014557078739579976,-0.0005709018845187295,0.4355644355644356,1.0,No
granulocytes,plasma cells,0.0005385881055807803,0.00115751255691057,-0.0006189244513297897,0.35064935064935066,1.0,No
granulocytes,adipocytes,0.0012958874989780068,0.00039245892456901633,0.0009034285744089905,0.987012987012987,1.0,No
granulocytes,CD68+CD163+ macrophages,0.007316138092225324,0.007287752596781978,2.8385495443346634e-05,0.988011988011988,1.0,No
